loan_id,origination_date,vintage,country,gender,age,dependents,monthly_income_usd,years_in_business,sector,loan_purpose,loan_amount_usd,loan_term_months,interest_rate_pct,dti_ratio,previous_loans,previous_defaults,dpd_history_days,group_lending,has_collateral,default
35,2023-08-24,20,Gambia,M,20,2,138.11,12.3,Petty trade,Expansion,658.09,6,41.1,0.892,2,0,0,0,1,0
36,2022-09-28,9,Sierra Leone,M,60,5,212.44,0.7,Petty trade,Working capital,1364.79,9,19.4,0.7728,1,0,21,1,0,0
37,2022-06-30,6,Gambia,F,42,4,309.55,1.4,Livestock,Working capital,1040.93,12,26.1,0.3214,1,0,0,1,0,0
38,2023-08-24,20,Senegal,F,45,3,117.66,3.7,Livestock,Working capital,1017.97,6,21.2,1.5324,2,0,0,1,0,0
39,2022-11-27,11,Senegal,F,61,2,105.82,0.6,Agriculture,Equipment,385.53,6,20.1,0.6433,2,2,81,0,0,0
40,2024-02-20,26,Nigeria,F,28,3,174.98,7.3,Services,Emergency,1547.79,18,40.3,0.6628,0,0,7,1,1,0
41,2023-07-25,19,Nigeria,M,64,2,54.38,1.3,Petty trade,Inventory,490.61,6,39.4,1.6811,0,0,0,1,0,0
42,2024-07-19,31,Ghana,F,31,2,203.85,0.5,Petty trade,Inventory,967.14,18,23.7,0.3158,3,0,0,1,1,0
43,2024-03-21,27,Gambia,F,34,2,53.9,4.7,Petty trade,Working capital,93.14,12,50.0,0.1859,1,0,7,1,0,0
44,2023-02-25,14,Gambia,M,39,7,53.27,17.7,Livestock,Inventory,168.65,9,36.6,0.4076,2,0,0,0,0,1
45,2024-07-19,31,Gambia,F,46,0,308.58,11.6,Manufacturing,Expansion,2583.76,6,35.9,1.5452,1,0,7,1,0,0
46,2024-06-19,30,Sierra Leone,M,33,2,40.0,0.1,Services,Equipment,86.66,12,27.9,0.209,0,0,0,0,1,0
47,2023-05-26,17,Gambia,M,55,3,266.22,7.0,Agriculture,Emergency,2220.28,9,37.4,1.077,1,1,75,1,0,1
48,2023-01-26,13,Sierra Leone,F,19,3,309.77,4.6,Services,Equipment,1816.68,6,28.8,1.0612,1,0,0,1,0,0
49,2024-03-21,27,Gambia,F,49,1,148.97,1.1,Petty trade,Working capital,1244.7,18,20.0,0.5411,1,0,14,0,0,0
50,2022-07-30,7,Nigeria,F,48,4,174.76,5.0,Petty trade,Expansion,1180.63,12,27.7,0.651,3,0,14,1,1,0
51,2022-10-28,10,Ghana,F,43,2,47.25,1.3,Fishing,Inventory,325.94,12,24.3,0.6533,0,0,7,0,1,0
52,2022-01-01,0,Nigeria,M,46,3,90.43,0.4,Fishing,Inventory,105.9,6,18.0,0.2056,0,0,7,0,1,0
53,2024-06-19,30,Ghana,F,53,1,150.67,1.3,Fishing,Emergency,1209.02,6,36.0,1.4813,3,0,21,0,0,0
54,2024-02-20,26,Nigeria,M,60,3,148.06,4.9,Services,Expansion,1071.54,6,29.3,1.3114,1,0,0,0,0,0
55,2024-03-21,27,Nigeria,M,28,2,158.64,3.5,Services,Education,1050.09,6,27.3,1.1927,1,0,21,1,0,0
56,2024-06-19,30,Gambia,M,40,3,148.01,0.6,Petty trade,Inventory,1346.68,18,41.9,0.6893,3,1,44,1,0,1
57,2023-08-24,20,Sierra Leone,M,44,2,123.05,12.2,Fishing,Inventory,694.43,9,29.3,0.7061,2,0,14,0,0,0
58,2023-11-22,23,Ghana,M,34,2,58.38,0.4,Petty trade,Inventory,358.52,6,37.8,1.1393,3,0,0,1,1,1
59,2022-07-30,7,Gambia,F,63,3,150.09,0.1,Agriculture,Equipment,742.67,9,19.5,0.5954,0,0,21,1,0,0
60,2022-06-30,6,Senegal,F,42,2,61.43,2.0,Agriculture,Working capital,404.44,24,21.7,0.3406,0,0,21,0,0,1
61,2024-02-20,26,Ghana,F,45,1,97.62,0.2,Manufacturing,Expansion,924.25,9,28.0,1.1785,0,0,21,0,1,0
62,2023-08-24,20,Nigeria,M,27,6,280.14,5.3,Petty trade,Working capital,1746.12,24,28.8,0.3447,4,0,0,1,0,0
63,2023-11-22,23,Nigeria,F,37,3,47.53,6.9,Manufacturing,Emergency,203.11,24,30.4,0.2398,0,0,14,1,1,0
64,2024-05-20,29,Senegal,M,47,1,112.78,2.7,Services,Working capital,666.48,6,36.0,1.0909,2,0,7,1,0,0
65,2024-01-21,25,Ghana,F,38,8,204.58,5.0,Petty trade,Working capital,1948.65,12,50.0,1.0248,4,2,46,1,0,0
66,2023-11-22,23,Gambia,F,54,2,178.26,6.1,Livestock,Working capital,500.78,12,15.1,0.2537,1,0,0,1,0,0
67,2023-11-22,23,Senegal,M,24,1,145.97,6.0,Manufacturing,Equipment,1318.62,6,23.1,1.6086,0,0,14,0,1,0
68,2023-02-25,14,Nigeria,F,25,2,80.93,2.2,Agriculture,Working capital,629.38,24,31.2,0.4396,0,0,0,0,0,1
69,2022-01-31,1,Gambia,F,33,3,266.8,0.4,Agriculture,Working capital,964.6,12,43.6,0.3771,1,1,47,0,0,1
70,2023-07-25,19,Senegal,M,32,3,58.3,3.8,Services,Inventory,495.6,12,26.2,0.8129,3,0,0,0,1,0
71,2022-10-28,10,Gambia,F,56,6,184.15,2.2,Agriculture,Equipment,1264.68,12,27.8,0.6621,0,0,0,0,1,1
72,2023-06-25,18,Gambia,F,58,2,133.2,1.6,Petty trade,Working capital,1200.66,6,24.7,1.6124,1,0,21,1,1,0
73,2024-08-18,32,Gambia,M,40,1,75.79,0.3,Fishing,Working capital,456.17,12,32.2,0.5933,0,0,7,1,0,0
74,2022-11-27,11,Gambia,M,41,2,96.21,0.5,Agriculture,Working capital,642.59,18,27.7,0.4577,1,0,0,0,1,0
75,2022-04-01,3,Senegal,F,31,4,360.21,0.9,Petty trade,Emergency,1288.48,12,34.5,0.3567,1,0,14,0,0,0
76,2023-01-26,13,Sierra Leone,F,42,4,60.5,1.3,Petty trade,Emergency,251.52,9,37.8,0.5377,2,0,0,1,0,0
77,2023-02-25,14,Gambia,M,51,1,42.27,0.3,Petty trade,Equipment,108.97,12,24.9,0.2449,1,0,0,0,0,0
78,2024-02-20,26,Nigeria,F,51,4,82.87,15.8,Petty trade,Working capital,525.02,12,35.6,0.6352,1,0,0,1,0,0
79,2023-11-22,23,Ghana,M,63,3,155.68,10.7,Petty trade,Working capital,196.56,9,22.0,0.1535,1,0,0,0,0,0
80,2024-06-19,30,Gambia,F,45,3,285.51,1.4,Manufacturing,Expansion,2757.93,6,29.7,1.7522,1,0,7,0,1,0
81,2024-02-20,26,Gambia,F,33,1,123.37,0.5,Manufacturing,Working capital,516.15,9,22.6,0.5097,0,0,7,0,0,0
82,2023-06-25,18,Gambia,F,21,4,45.74,8.7,Petty trade,Inventory,289.11,24,14.7,0.3056,0,0,7,0,0,0
83,2024-07-19,31,Nigeria,F,50,1,128.68,0.1,Livestock,Working capital,1318.07,12,35.3,1.0255,4,0,7,0,1,0
84,2022-08-29,8,Nigeria,F,55,2,203.07,1.8,Agriculture,Expansion,861.88,6,19.8,0.7488,1,1,124,0,0,0
85,2022-01-31,1,Senegal,F,43,5,147.28,0.5,Petty trade,Equipment,223.17,6,22.1,0.2691,2,0,7,1,0,1
86,2022-05-31,5,Gambia,M,61,2,163.41,0.4,Manufacturing,Working capital,622.39,6,25.1,0.6821,0,0,0,1,0,0
87,2024-04-20,28,Gambia,M,32,3,40.0,3.9,Services,Working capital,402.59,18,43.2,0.7694,1,0,0,0,1,0
88,2023-08-24,20,Ghana,F,20,6,54.31,1.0,Fishing,Inventory,502.14,6,41.0,1.7304,4,0,0,1,0,0
89,2022-08-29,8,Gambia,M,47,4,112.13,0.8,Services,Inventory,699.47,9,14.5,0.7357,1,0,21,1,1,0
90,2023-09-23,21,Ghana,M,23,2,239.87,5.2,Fishing,Inventory,1671.39,12,18.1,0.6391,2,0,21,1,1,0
91,2022-08-29,8,Ghana,F,21,5,75.67,13.1,Agriculture,Working capital,358.14,18,43.0,0.3613,0,0,0,1,1,0
92,2024-03-21,27,Ghana,F,50,1,137.39,7.6,Agriculture,Inventory,791.09,6,45.5,1.091,2,0,0,0,0,1
93,2023-07-25,19,Gambia,M,38,3,134.26,7.3,Petty trade,Working capital,778.35,6,31.8,1.0578,0,0,0,1,1,0
94,2023-05-26,17,Senegal,M,46,3,65.0,3.8,Manufacturing,Inventory,287.1,6,29.1,0.7999,1,0,0,1,0,0
95,2023-02-25,14,Senegal,M,53,4,78.12,9.8,Agriculture,Expansion,598.36,3,27.5,2.6711,1,0,0,1,1,0
96,2024-01-21,25,Nigeria,M,35,4,119.69,2.6,Petty trade,Working capital,1100.92,6,26.2,1.6523,2,0,21,1,0,0
97,2023-04-26,16,Senegal,M,46,5,97.58,17.3,Fishing,Expansion,796.75,12,18.0,0.7486,1,0,7,1,0,0
98,2022-05-01,4,Senegal,F,43,3,198.81,2.2,Services,Emergency,616.02,3,34.6,1.093,2,0,21,0,0,0
99,2022-06-30,6,Gambia,F,45,0,94.4,1.3,Petty trade,Education,240.97,12,20.5,0.2371,2,0,14,0,1,0
100,2024-11-16,35,Ghana,M,51,9,206.9,8.4,Agriculture,Working capital,2186.97,18,33.2,0.7535,0,0,21,1,0,0
101,2024-09-17,33,Ghana,M,35,3,97.8,2.7,Manufacturing,Emergency,273.02,12,28.3,0.2698,0,0,0,0,0,0
102,2024-03-21,27,Nigeria,F,41,1,123.27,2.8,Livestock,Working capital,565.65,24,36.8,0.2729,0,0,14,1,0,0
103,2022-12-27,12,Ghana,M,45,2,196.36,20.3,Services,Equipment,297.36,9,22.5,0.1844,4,1,80,1,0,0
104,2024-11-16,35,Nigeria,M,24,3,113.94,1.3,Agriculture,Inventory,379.88,9,17.8,0.3985,1,0,0,1,1,1
105,2024-06-19,30,Nigeria,M,27,4,94.1,3.6,Petty trade,Working capital,488.21,6,19.9,0.9156,1,0,0,1,0,0
106,2024-04-20,28,Senegal,F,22,2,116.57,2.9,Petty trade,Working capital,213.13,12,27.8,0.1763,0,0,0,0,0,0
107,2023-07-25,19,Gambia,M,27,2,207.67,1.6,Livestock,Emergency,1240.26,12,26.8,0.5729,0,0,0,1,1,0
108,2023-01-26,13,Sierra Leone,M,38,2,148.26,0.1,Manufacturing,Working capital,672.37,6,17.7,0.7953,2,0,0,0,0,0
109,2022-05-31,5,Nigeria,F,62,2,40.0,4.2,Manufacturing,Inventory,168.68,12,23.7,0.3981,4,1,87,0,0,1
110,2024-09-17,33,Sierra Leone,F,61,3,78.79,8.7,Petty trade,Expansion,664.24,9,28.6,1.0519,1,0,0,1,1,0
111,2023-08-24,20,Senegal,F,53,4,79.19,1.8,Agriculture,Working capital,358.0,24,33.7,0.2615,2,0,0,1,0,0
112,2022-10-28,10,Sierra Leone,F,44,3,172.45,0.4,Manufacturing,Emergency,280.54,3,27.8,0.5676,0,0,0,1,0,1
113,2023-02-25,14,Gambia,F,27,2,40.0,0.5,Services,Education,263.73,9,33.6,0.8389,1,0,0,0,0,0
114,2023-12-22,24,Ghana,M,34,4,143.72,3.7,Agriculture,Working capital,1047.93,9,28.3,0.9087,0,0,14,1,0,0
115,2022-09-28,9,Senegal,M,54,2,177.97,8.5,Manufacturing,Equipment,891.71,9,28.4,0.6246,2,1,81,1,0,0
116,2024-08-18,32,Gambia,M,60,8,177.98,0.1,Agriculture,Working capital,243.97,6,32.0,0.2503,2,0,0,1,0,0
117,2024-05-20,29,Gambia,M,63,2,115.49,2.6,Services,Education,1138.46,6,18.5,1.7327,0,0,0,1,1,1
118,2024-04-20,28,Gambia,M,36,3,46.08,5.6,Services,Working capital,184.51,9,43.1,0.5286,2,0,0,1,0,0
119,2023-07-25,19,Gambia,M,40,3,104.13,1.0,Agriculture,Equipment,389.4,6,28.6,0.6763,3,0,0,0,1,0
120,2024-01-21,25,Sierra Leone,F,41,2,294.21,2.8,Manufacturing,Inventory,843.65,6,27.3,0.5167,3,0,21,1,0,0
121,2023-12-22,24,Sierra Leone,F,20,4,84.99,3.3,Petty trade,Inventory,575.16,18,30.0,0.4715,0,0,14,1,1,0
122,2024-02-20,26,Nigeria,M,23,7,449.66,5.5,Petty trade,Inventory,2927.57,12,37.1,0.6577,0,0,14,1,0,1
123,2022-05-01,4,Sierra Leone,F,20,1,197.69,9.2,Fishing,Working capital,1484.29,12,31.3,0.7368,0,0,0,0,0,0
124,2023-06-25,18,Nigeria,M,52,2,111.52,2.3,Livestock,Expansion,707.66,6,33.1,1.162,0,0,0,0,1,0
125,2022-03-02,2,Sierra Leone,F,28,4,139.13,0.7,Petty trade,Expansion,411.71,24,28.7,0.1635,0,0,0,1,1,0
126,2023-09-23,21,Gambia,F,50,2,152.11,0.8,Services,Inventory,1195.2,18,19.4,0.5066,0,0,0,1,0,0
127,2023-03-27,15,Gambia,M,35,3,85.94,1.3,Petty trade,Expansion,299.32,24,12.0,0.164,1,0,0,1,1,0
128,2022-07-30,7,Nigeria,M,55,7,94.79,10.2,Manufacturing,Working capital,737.66,12,34.6,0.7764,1,0,0,1,0,0
129,2022-05-31,5,Senegal,F,23,3,402.13,13.8,Petty trade,Working capital,736.27,12,36.1,0.184,4,1,43,1,0,0
130,2023-12-22,24,Nigeria,F,33,3,297.39,0.2,Petty trade,Working capital,1464.16,12,18.4,0.4523,1,1,49,1,1,0
131,2022-08-29,8,Ghana,F,27,3,96.87,5.3,Agriculture,Working capital,822.22,12,17.5,0.7761,0,0,0,1,0,0
132,2024-10-17,34,Senegal,M,38,7,76.15,0.5,Livestock,Working capital,641.82,6,18.6,1.4819,1,0,0,1,0,0
133,2023-12-22,24,Gambia,M,44,4,46.72,0.5,Livestock,Working capital,197.62,3,22.9,1.4641,2,0,0,1,1,0
134,2023-04-26,16,Nigeria,M,25,1,443.17,0.8,Petty trade,Equipment,3195.88,9,20.4,0.8709,1,0,14,0,1,1
135,2023-12-22,24,Ghana,F,49,1,224.66,3.8,Services,Inventory,308.05,12,28.6,0.1327,0,0,21,1,1,0
136,2022-01-31,1,Senegal,M,63,2,256.69,5.7,Petty trade,Inventory,291.59,6,28.9,0.2056,1,0,0,1,0,0
137,2024-10-17,34,Ghana,M,20,3,87.7,4.3,Agriculture,Expansion,450.62,18,27.9,0.3526,3,1,79,1,0,1
138,2023-08-24,20,Senegal,F,22,4,84.31,3.6,Agriculture,Equipment,779.91,12,23.3,0.8716,0,0,14,1,0,0
139,2024-06-19,30,Senegal,F,62,2,69.9,0.9,Manufacturing,Equipment,451.51,12,20.2,0.599,2,0,7,0,0,0
140,2022-05-01,4,Ghana,M,48,3,40.0,1.5,Petty trade,Working capital,70.99,12,15.6,0.1607,1,0,7,1,0,0
141,2023-09-23,21,Senegal,F,61,3,71.9,0.3,Petty trade,Expansion,438.76,18,22.8,0.4035,2,0,14,1,0,0
142,2023-09-23,21,Sierra Leone,F,51,5,147.19,1.2,Livestock,Inventory,1302.95,24,32.4,0.506,3,1,35,1,0,0
143,2024-10-17,34,Senegal,F,51,4,141.04,15.6,Agriculture,Working capital,948.69,18,14.4,0.4177,4,1,77,0,1,0
144,2023-11-22,23,Sierra Leone,M,25,3,83.96,8.3,Petty trade,Working capital,307.94,18,26.8,0.2497,2,0,0,1,0,0
145,2023-08-24,20,Nigeria,F,42,1,179.97,0.9,Fishing,Working capital,1687.15,18,18.9,0.6022,2,0,14,1,0,0
146,2023-01-26,13,Nigeria,M,35,1,81.09,3.0,Manufacturing,Equipment,695.29,9,16.9,1.021,1,0,21,0,0,0
147,2023-03-27,15,Nigeria,F,57,2,192.6,4.7,Agriculture,Working capital,952.29,9,35.1,0.6328,0,0,0,0,1,0
148,2023-10-23,22,Ghana,F,20,5,191.12,7.5,Agriculture,Expansion,1600.02,12,37.2,0.8461,2,0,7,1,0,0
149,2023-07-25,19,Ghana,F,18,3,198.64,4.7,Manufacturing,Working capital,744.3,6,31.4,0.6829,2,0,14,1,0,0
150,2022-01-31,1,Ghana,F,44,1,127.02,1.8,Agriculture,Emergency,326.41,9,17.9,0.3072,1,0,14,1,0,0
151,2024-07-19,31,Gambia,F,63,2,74.46,7.0,Services,Working capital,405.89,6,34.1,1.001,2,1,69,1,1,0
152,2024-09-17,33,Gambia,M,64,1,59.42,0.5,Agriculture,Equipment,571.32,6,33.3,1.7617,3,0,7,1,1,0
153,2022-07-30,7,Gambia,M,45,3,40.0,4.4,Manufacturing,Emergency,272.14,12,43.4,0.7089,0,0,0,1,0,0
154,2023-11-22,23,Nigeria,M,38,7,191.39,3.2,Petty trade,Working capital,1876.39,3,23.1,3.3946,2,0,0,1,1,0
155,2022-05-31,5,Gambia,F,30,1,44.19,0.6,Petty trade,Expansion,302.35,24,30.4,0.384,2,0,7,1,1,0
156,2024-02-20,26,Ghana,M,64,4,112.05,2.8,Manufacturing,Working capital,917.9,3,20.3,2.8235,2,0,0,0,0,0
157,2023-01-26,13,Gambia,F,26,6,138.49,0.7,Agriculture,Equipment,1083.32,6,12.2,1.3505,2,0,21,0,0,0
158,2024-02-20,26,Gambia,F,23,4,63.98,7.9,Services,Emergency,105.5,24,12.8,0.0782,2,1,164,0,0,0
159,2024-04-20,28,Ghana,F,41,7,112.85,0.5,Fishing,Working capital,865.98,18,27.9,0.5266,0,0,0,1,0,0
160,2024-05-20,29,Nigeria,M,36,1,147.14,1.6,Services,Working capital,293.94,3,21.5,0.6899,1,0,14,0,0,0
161,2022-05-31,5,Senegal,F,41,6,103.13,5.0,Agriculture,Working capital,486.38,18,31.6,0.3324,2,0,7,0,1,0
162,2024-09-17,33,Sierra Leone,F,60,3,160.17,0.2,Livestock,Working capital,925.61,18,32.6,0.4102,1,0,0,1,1,0
163,2022-11-27,11,Gambia,F,30,5,93.06,4.4,Agriculture,Equipment,648.29,9,27.6,0.8658,1,1,136,0,0,0
164,2022-03-02,2,Senegal,F,59,3,102.86,4.9,Petty trade,Expansion,795.48,18,15.1,0.4828,2,0,0,0,0,0
165,2023-11-22,23,Gambia,M,27,1,71.29,4.1,Agriculture,Working capital,193.45,9,19.6,0.3267,1,0,21,0,1,0
166,2023-05-26,17,Senegal,M,33,1,112.02,1.4,Services,Inventory,986.55,6,29.4,1.5962,1,1,97,1,0,0
167,2024-07-19,31,Gambia,F,18,4,121.95,4.4,Petty trade,Expansion,953.47,6,30.2,1.4202,4,2,65,0,0,0
168,2024-06-19,30,Gambia,F,49,0,69.8,6.8,Petty trade,Expansion,479.66,6,30.3,1.2486,1,0,0,1,0,0
169,2023-03-27,15,Nigeria,F,58,6,157.18,0.0,Petty trade,Education,1116.11,6,34.4,1.305,3,1,63,0,1,0
170,2024-10-17,34,Ghana,F,59,2,40.0,3.2,Petty trade,Expansion,135.78,12,25.6,0.3236,0,0,14,1,0,0
171,2023-01-26,13,Gambia,F,25,2,232.57,0.6,Manufacturing,Working capital,376.37,6,29.2,0.2931,1,1,135,0,1,0
172,2023-10-23,22,Sierra Leone,F,54,5,51.91,1.2,Petty trade,Working capital,158.34,12,32.0,0.3004,3,1,80,1,0,0
173,2022-12-27,12,Ghana,F,24,3,226.84,7.9,Services,Expansion,882.16,12,35.2,0.3891,1,0,21,1,0,0
174,2024-10-17,34,Senegal,F,47,2,176.32,6.3,Agriculture,Working capital,946.05,12,27.4,0.5162,4,2,56,1,0,0
175,2022-08-29,8,Senegal,M,51,2,223.09,0.1,Livestock,Working capital,444.27,12,27.1,0.1913,1,0,0,0,1,0
176,2022-03-02,2,Gambia,M,25,3,61.82,1.3,Petty trade,Expansion,396.78,12,30.0,0.6257,0,0,0,1,0,0
177,2023-07-25,19,Nigeria,M,23,3,107.54,0.7,Petty trade,Equipment,622.34,9,27.9,0.72,0,0,0,1,1,0
178,2024-11-16,35,Senegal,M,21,4,144.94,4.7,Agriculture,Equipment,1101.14,12,25.3,0.7232,1,0,21,0,1,1
179,2024-09-17,33,Gambia,F,51,3,157.08,1.0,Fishing,Equipment,333.49,3,22.4,0.7343,0,0,14,0,0,0
180,2024-05-20,29,Gambia,F,46,2,201.16,2.5,Services,Working capital,1168.42,12,13.8,0.521,1,0,7,0,0,0
181,2024-09-17,33,Gambia,M,23,2,179.61,2.0,Agriculture,Working capital,1701.55,12,31.8,0.932,1,0,0,0,0,1
182,2024-09-17,33,Senegal,M,41,1,161.65,16.1,Agriculture,Education,1509.81,24,31.2,0.528,3,0,7,1,0,1
183,2023-10-23,22,Ghana,F,55,2,163.17,1.3,Petty trade,Working capital,1176.17,6,29.6,1.3072,1,0,14,0,1,0
184,2023-02-25,14,Sierra Leone,F,29,7,183.14,2.1,Agriculture,Inventory,1094.33,6,30.8,1.0872,2,0,21,0,1,0
185,2024-05-20,29,Gambia,F,46,3,122.97,3.5,Services,Working capital,1185.25,24,26.2,0.5202,2,0,0,1,1,0
186,2024-02-20,26,Senegal,M,31,1,241.66,1.5,Petty trade,Working capital,532.76,6,42.5,0.4143,0,0,0,1,0,0
187,2023-05-26,17,Gambia,M,30,3,116.03,7.9,Petty trade,Working capital,174.33,12,34.6,0.1499,1,1,46,1,0,0
188,2022-05-31,5,Senegal,F,36,3,44.05,4.1,Manufacturing,Working capital,281.66,24,43.1,0.402,0,0,0,1,1,1
189,2024-05-20,29,Ghana,F,34,2,256.53,2.4,Petty trade,Inventory,1150.63,12,22.2,0.4202,5,0,0,1,0,0
190,2022-12-27,12,Sierra Leone,F,41,1,160.9,1.8,Agriculture,Working capital,347.83,6,27.1,0.3893,2,0,7,1,0,0
191,2024-10-17,34,Nigeria,F,27,3,111.12,1.7,Petty trade,Equipment,1125.06,6,27.1,1.8233,1,0,0,1,0,0
192,2022-11-27,11,Gambia,M,36,3,130.12,3.3,Livestock,Inventory,164.79,6,39.1,0.2358,2,0,0,0,1,0
193,2022-06-30,6,Nigeria,M,47,1,300.13,3.3,Manufacturing,Equipment,2076.72,12,12.0,0.6148,2,0,7,1,1,0
194,2024-07-19,31,Nigeria,M,36,2,129.03,3.8,Manufacturing,Working capital,645.72,24,32.5,0.2863,2,0,0,0,0,0
195,2022-08-29,8,Gambia,M,48,4,302.3,3.2,Manufacturing,Working capital,1195.6,3,29.3,1.3832,1,0,0,1,1,0
196,2022-09-28,9,Sierra Leone,M,23,4,161.26,2.2,Agriculture,Working capital,683.46,9,36.4,0.5452,0,0,0,1,0,1
197,2023-12-22,24,Nigeria,M,24,2,97.74,0.7,Agriculture,Working capital,417.79,18,23.5,0.2841,0,0,0,0,1,0
198,2024-08-18,32,Nigeria,M,58,3,55.38,1.0,Agriculture,Equipment,128.49,18,14.1,0.1438,2,0,0,1,1,0
199,2022-10-28,10,Senegal,F,39,7,128.36,1.5,Agriculture,Equipment,842.51,18,43.1,0.5014,3,0,0,0,0,0
200,2023-02-25,14,Gambia,M,46,6,267.33,0.9,Manufacturing,Working capital,1407.85,12,27.9,0.508,1,0,7,1,1,0
201,2024-06-19,30,Nigeria,F,52,2,86.39,3.7,Agriculture,Working capital,424.46,6,35.6,0.906,0,0,0,0,0,0
